"","title","year","topic"
"421","Myriorama+_UTF8.txt",2013,6
"422","Ninos_du_Brasil.txt",2013,2
"423","Nøne_Futbol_Club_-_Work_n°065_Choplifting,_2013+_UTF8.txt",2013,4
"424","Noyade+_UTF8.txt",2013,2
"425","PECHA_KUCHA,_Journée_internationale_de_la_Femme.txt",2013,5
"426","PERFORMANCE_–_HICHAM_BERRADA.txt",2013,1
"427","Performance_Julius_von_Bismarck.txt",2013,3
"428","Pierre_Seinturier+_UTF8.txt",2013,1
"429","Présentation_de_l'oeuvre_sonore_de_Susanna_Fritscher.txt",2013,5
"430","Présentation_de_la_revue_Locus_Solus.txt",2013,5
"431","Présentation_du_livre_""L'ordre_règne_à_Berlin"".txt",2013,5
"432","Présentation_et_lancement_du_livre-objet_48°N,_2°E+_UTF8.txt",2013,5
"433","Présentation_par_Valérie_Da_Costa_des_""écrits""_de_Lucio_Fontana.txt",2013,5
